x,y,z
0.47474962726674497,0.5475850852494547,0.8462264326376352
0.4209624647155201,0.5725136979825107,0.7555482242024457
0.32637245879469134,0.5105236421890441,0.8131991417831432
0.30801876883887236,0.7373629009402822,0.9206162516462002
0.37277176234848053,0.5798798569464076,0.7523385302961312
0.49127908043394064,0.6957040082342414,0.7883888606813456
0.43436522430715063,0.5676377023738219,0.9640309367824819
0.49562121160179373,0.5015655451571281,0.8210656412120948
0.39871412718847676,0.6797365407681434,0.7862650917793415
0.33384673232724993,0.5583972917630101,0.8121400514653317
