x,y,z
0.6888987461019588,0.9078402055354583,0.634338074735847
0.705316202900397,0.8507624171568553,0.532699906668719
0.5433944517290723,0.980108099951074,0.536036153887042
0.5588610970909496,0.8762804172777476,0.5546073557936783
0.6594818069893167,0.8736332230286431,0.7252036424187379
0.6218017440885578,0.9866313665074086,0.6722183600525836
0.5845609631758171,0.8574841964383191,0.68038888354706
0.7072446697766875,0.9602194935351069,0.588721465892406
0.6840436672459349,0.9897696910500263,0.7214410140467075
0.7003991649352039,0.9513303931553317,0.7570367562033552
