x,y,z
0.0751003182854022,0.3575200033658422,0.18524432340498653
0.09188863398510172,0.30282399488893796,0.02498173183343322
0.14322486725111583,0.45819540021702776,0.18043320475458724
0.14174050018205675,0.2930793712031602,0.12921277205082948
0.04185798103223126,0.4523952093197281,0.17722935035133403
0.2466859986210842,0.36561278103276806,0.20766936345064546
0.21195723700576763,0.3690128360044155,0.057954052621924546
0.16258036655035213,0.4601177064264289,0.012497412222395754
0.10425090270494464,0.3434309397542332,0.11720973412109414
0.10684135683986318,0.40045381193774265,0.04570752523147692
