x,y,z
0.41231835401884587,0.5037716142273205,0.909503563296751
0.47347561218215317,0.47879745333919077,0.9541706837990238
0.2709666706049274,0.39477015257691583,0.9288264727563817
0.3150385501139884,0.32065689594670976,0.8747661094997635
0.3670656993055541,0.29660311918449533,0.9549509412950568
0.3342184485389079,0.4216367620221739,0.9468482944064335
0.37735822238295746,0.32731583577917567,0.8884029010913871
0.3382875814756058,0.38872124646131556,0.768182126832946
0.3225437317744062,0.27607933531195095,0.9630206866286211
0.49090344150905274,0.47261321718312876,0.7790651248412128
