x,y,z
0.9616110956505038,0.6067639325603432,0.15367868097134862
0.7910677872545031,0.7626621820651923,0.15491879502327077
0.938043582435296,0.667663261673337,0.2642826889776908
0.9423623711676885,0.5311941860269961,0.11661722450060918
0.7689352204626271,0.5989652068052173,0.1590756050971387
0.8704811935715109,0.6674445730091002,0.1966437277522538
0.8478824233337148,0.5362746589060123,0.12898454192880848
0.9562159019074251,0.634821018452552,0.017850793735786463
0.8401533301777099,0.7043250617094114,0.04207224288459688
0.8950685310609566,0.7297849007371638,0.05159474025822719
